Title,Artist
Polonaise Op.53 in A Flat Major, Frederic Chopin;
Sonetto del Petrarca 104, Franz Liszt;
24 Preludes Op.11 No.11 in B Major, Alexander Scriabin;
Regreso al amor, Astor Piazzolla;
Liebestraum S. 541 No.2 in A Flat Major, Franz Liszt;
Liebesleid, Sergei Rachmaninoff/Fritz Kreisler;
Scherzo No.1 Op.20 in B Minor, Frederic Chopin;
Piano Concerto No.2, Sergei Rachmaninoff;
Cello Suite No.1 G Major BWV 1007: I. Prelude, Johann Sebastian Bach;
Piano Concerto No.3, Sergei Rachmaninoff;
Violin Concerto in D Minor Op.47, Jean Sibelius;